Trip,Date,Price,Item,Paid with
oriente,7-Oct,1.00,peaje,cash
oriente,7-Oct,3.00,snacks,cash
oriente,7-Oct,10.00,compras,cash
oriente,7-Oct,7.00,sifter materials,cash
oriente,7-Oct,16.00,gasoline,cash
oriente,7-Oct,6.50,dinner,cash
oriente,7-Oct,16.00,hotel,cash
oriente,8-Oct,16.00,hotel,cash
oriente,8-Oct,10.00,maito,cash
oriente,8-Oct,5.00,agua,cash
oriente,9-Oct,16.00,hotel,cash
oriente,9-Oct,6.00,dinner,cash
oriente,10-Oct,8.00,breakfast,cash
oriente,10-Oct,15.00,dinner,cash
oriente,10-Oct,6.00,camping,cash
oriente,10-Oct,15.26,gasoline,card
oriente,11-Oct,6.00,desayuno,cash
oriente,11-Oct,24.00,dinner,cash
oriente,11-Oct,50.00,llanta,cash
oriente,11-Oct,6.00,camping,cash
oriente,12-Oct,6.00,desayuno,cash
oriente,12-Oct,16.00,gasoline,cash
oriente,12-Oct,5.00,almuerzo,cash
oriente,12-Oct,6.00,merienda,cash
oriente,12-Oct,6.00,camping,cash
oriente,13-Oct,6.00,desayuno,cash
oriente,13-Oct,7.00,almuerzo,cash
oriente,13-Oct,4.00,snacks,cash
oriente,13-Oct,8.00,dinner,cash
oriente,13-Oct,15.00,hotel,cash
oriente,14-Oct,3.00,desayuno,cash
oriente,14-Oct,7.50,almuerzo,cash
oriente,14-Oct,5.00,dinner,cash
oriente,14-Oct,18.00,compras,cash
oriente,15-Oct,2.00,desayuno,cash
oriente,15-Oct,2.00,canoe,cash
oriente,15-Oct,7.00,almuerzo,cash
oriente,15-Oct,16.00,gasoline,cash
quito,16-Oct,5.00,almuerzo,cash
quito,16-Oct,10.00,dinner,cash
quito,17-Oct,2.00,bread,cash
los bancos,18-Oct,13.50,gasoline,cash
los bancos,18-Oct,6.00,lunch,cash
los bancos,18-Oct,21.00,hotel,cash
los bancos,18-Oct,13.00,dinner,cash
los bancos,19-Oct,6.00,breakfast,cash
los bancos,19-Oct,17.00,gasoline,cash
los bancos,19-Oct,3.00,snacks,cash
los bancos,19-Oct,15.00,dinner,cash
quito,20-Oct,7.00,cookies,cash
quito,20-Oct,3.00,dinner,cash
quito,21-Oct,2.00,bus,cash
quito,21-Oct,5.00,lunch,cash
quito,21-Oct,4.00,matircula,cash
quito,22-Oct,5.00,lunch,cash
quito,22-Oct,6.00,movie,cash
quito,22-Oct,4.00,taxi,cash
quito,23-Oct,63.00,oil change/car wash,cash
quito,23-Oct,8.00,dinner,cash
quito,24-Oct,20.00,fiesta,cash
quito,24-Oct,5.00,taxi,cash
quito,24-Oct,3.00,food,cash
quito,25-Oct,5.00,breakfast,cash
quito,25-Oct,80.00,bus to cali,cash
quito,25-Oct,25.00,luggage fee,cash
cali,26-Oct,13.50,hotel,card
cali,26-Oct,0.50,tea,cash
cali,26-Oct,2.75,lunch,cash
cali,26-Oct,1.00,snacks,cash
cali,27-Oct,55.95,shoes,card
cali,27-Oct,37.85,bathing suit,card
cali,27-Oct,29.50,bus to bogota,card
cali,27-Oct,6.00,nails,card
cali,27-Oct,4.50,taxi,cash
cali,27-Oct,1.50,snacks,cash
bogota,28-Oct,8.00,taxi,cash
bogota,28-Oct,0.75,bread,cash
bogota,28-Oct,$8 ,taxi,cash
bogota,28-Oct,0.75,bread,cash
bogota,29-Oct,21,printing,cash
bogota,29-Oct,3.5,lunch,cash
bogota,29-Oct,2.5,snacks,cash
bogota,30-Oct,4,formol/etanol,cash
bogota,30-Oct,4,lunch,cash
bogota,30-Oct,3,beer,cash
bogota,30-Oct,2,snacks,cash
bogota,1-Nov,1.5,museum,cash
bogota,1-Nov,4,transmilenio,cash
bogota,1-Nov,7,taxi,cash
bogota,1-Nov,3,hamburger,cash
bogota,1-Nov,4.5,compras,cash
santa maria,2-Nov,28.00,bus ticket,cash
santa maria,2-Nov,2.90,taxi,cash
santa maria,2-Nov,1.00,arepa,cash
santa maria,2-Nov,10.00,lunch,cash
santa maria,2-Nov,10.00,hotel,cash
santa maria,2-Nov,5.00,dinner,cash
santa maria,2-Nov,4.50,compras,cash
