"day","year","Adoxophyes_honmai"
273,1966,34
278,1966,48
283,1966,71
288,1966,99
293,1966,14
298,1966,28
303,1966,18
309,1966,9
314,1966,28
319,1966,5
324,1966,0
329,1966,1
334,1966,1
64,1967,0
69,1967,0
74,1967,0
79,1967,5
84,1967,0
89,1967,0
95,1967,2
100,1967,12
105,1967,19
110,1967,7
115,1967,7
120,1967,96
125,1967,65
130,1967,25
135,1967,13
140,1967,4
145,1967,1
150,1967,12
156,1967,20
161,1967,78
166,1967,196
171,1967,226
176,1967,229
181,1967,154
186,1967,53
191,1967,29
196,1967,12
201,1967,8
206,1967,42
211,1967,424
217,1967,416
222,1967,334
227,1967,51
232,1967,32
237,1967,17
242,1967,45
248,1967,78
253,1967,89
258,1967,57
263,1967,28
268,1967,151
273,1967,283
278,1967,175
283,1967,76
288,1967,72
293,1967,29
298,1967,13
303,1967,20
309,1967,97
314,1967,51
319,1967,10
324,1967,3
329,1967,6
334,1967,96
64,1968,1
69,1968,2
74,1968,0
79,1968,15
84,1968,20
89,1968,29
95,1968,35
100,1968,52
105,1968,21
110,1968,59
115,1968,37
120,1968,67
125,1968,136
130,1968,109
135,1968,42
140,1968,122
145,1968,18
150,1968,7
156,1968,14
161,1968,23
166,1968,111
171,1968,372
176,1968,618
181,1968,448
186,1968,82
191,1968,20
196,1968,37
201,1968,6
206,1968,37
211,1968,189
217,1968,771
222,1968,1325
227,1968,567
232,1968,363
237,1968,113
242,1968,26
248,1968,20
253,1968,90
258,1968,283
263,1968,335
268,1968,139
273,1968,866
278,1968,478
283,1968,283
288,1968,41
293,1968,13
298,1968,3
303,1968,2
309,1968,13
314,1968,4
319,1968,1
324,1968,12
329,1968,5
334,1968,12
64,1969,0
69,1969,0
74,1969,0
79,1969,1
84,1969,8
89,1969,27
95,1969,3
100,1969,10
105,1969,113
110,1969,5
115,1969,54
120,1969,14
125,1969,10
130,1969,5
135,1969,1
140,1969,0
145,1969,0
150,1969,18
156,1969,40
161,1969,44
166,1969,80
171,1969,334
176,1969,220
181,1969,73
186,1969,42
191,1969,3
196,1969,38
201,1969,91
206,1969,164
211,1969,118
217,1969,215
222,1969,248
227,1969,149
232,1969,89
237,1969,18
242,1969,27
248,1969,23
253,1969,39
258,1969,20
263,1969,51
268,1969,60
273,1969,34
278,1969,56
283,1969,23
288,1969,39
293,1969,76
298,1969,23
303,1969,15
309,1969,21
314,1969,4
319,1969,7
324,1969,12
329,1969,5
334,1969,0
64,1970,0
69,1970,0
74,1970,0
79,1970,0
84,1970,0
89,1970,5
95,1970,0
100,1970,6
105,1970,6
110,1970,23
115,1970,39
120,1970,73
125,1970,141
130,1970,61
135,1970,83
140,1970,27
145,1970,16
150,1970,5
156,1970,0
161,1970,10
166,1970,26
171,1970,263
176,1970,469
181,1970,494
186,1970,303
191,1970,77
196,1970,48
201,1970,4
206,1970,16
211,1970,340
217,1970,1273
222,1970,1022
227,1970,509
232,1970,343
237,1970,160
242,1970,41
248,1970,28
253,1970,26
258,1970,93
263,1970,165
268,1970,64
273,1970,312
278,1970,113
283,1970,86
288,1970,107
293,1970,93
298,1970,19
303,1970,1
309,1970,3
314,1970,7
319,1970,20
324,1970,3
329,1970,0
334,1970,13
64,1971,0
69,1971,0
74,1971,0
79,1971,1
84,1971,0
89,1971,6
95,1971,95
100,1971,178
105,1971,361
110,1971,100
115,1971,200
120,1971,73
125,1971,181
130,1971,80
135,1971,55
140,1971,42
145,1971,4
150,1971,2
156,1971,71
161,1971,948
166,1971,762
171,1971,558
176,1971,130
181,1971,63
186,1971,18
191,1971,9
196,1971,168
201,1971,263
206,1971,473
211,1971,764
217,1971,34
222,1971,10
227,1971,41
232,1971,15
237,1971,19
242,1971,11
